Species,Latitude,Longitude
Senna_spectabilis,13.32498889,77.115075
Senna_spectabilis,10.9397433333,76.69197
Senna_spectabilis,13.2109689145,77.6585414834
Senna_spectabilis,13.0142948162,77.6840904728
Senna_spectabilis,12.9150945315,77.4696979879
Senna_spectabilis,12.8543147,77.5099453
Senna_spectabilis,10.9467861111,76.711275
Senna_spectabilis,12.4163550105,75.9554462017
Senna_spectabilis,11.5090383333,76.1604833333
Senna_spectabilis,12.9206072,77.4415806
Senna_spectabilis,12.9715987,77.5945627
Senna_spectabilis,12.9008949251,77.5356355682
Senna_spectabilis,12.844148535,77.6793811843
Senna_spectabilis,15.4393253056,74.9897994722
Senna_spectabilis,13.0135728872,77.569479011
Senna_spectabilis,12.93356758,77.60708624
Senna_spectabilis,12.93638833,77.60501232
Senna_spectabilis,12.9064308,77.5353336997
Senna_spectabilis,12.3580692769,76.6100719444
Senna_spectabilis,12.9150945315,77.4696979879
Senna_spectabilis,12.9150945315,77.4696979879
Senna_spectabilis,13.1306510125,77.5465022027
Senna_spectabilis,11.9516338,76.0594973
Senna_spectabilis,13.0159287851,77.6378619298
Senna_spectabilis,12.9671852,77.6385779
Senna_spectabilis,12.9671852,77.6385779
Senna_spectabilis,12.9150945315,77.4696979879
Senna_spectabilis,13.0873671,77.609935
Senna_spectabilis,13.0674762406,77.5863279775
Senna_spectabilis,12.854315,77.509945
Senna_spectabilis,12.773892,77.689659
Senna_spectabilis,12.915095,77.469698
Senna_spectabilis,13.010826,77.686532
Senna_spectabilis,13.011139,77.686978
Senna_spectabilis,10.939743,76.69197
Senna_spectabilis,12.987317,77.745744
Senna_spectabilis,12.416355,75.955446
Senna_spectabilis,12.920607,77.441581
Senna_spectabilis,11.509038,76.160483
Senna_spectabilis,11.637592,76.525701
Senna_spectabilis,12.844149,77.679381
Senna_spectabilis,12.915095,77.469698
Senna_spectabilis,12.906431,77.535334
Senna_spectabilis,13.138263,77.580025
Senna_spectabilis,13.015929,77.637862
Senna_spectabilis,12.915095,77.469698
Senna_spectabilis,12.358069,76.610072
Senna_spectabilis,11.951634,76.059497
Senna_spectabilis,12.967185,77.638578
Senna_spectabilis,12.967185,77.638578
Senna_spectabilis,13.087367,77.609935
Senna_spectabilis,12.915095,77.469698
Senna_spectabilis,13.076565,77.55854
